AQSID,STATE_NAME,COUNTY_NAME,PARAMETER_NAME,DATETIME_LOCAL,LATITUDE,LONGITUDE,UNITS_OF_MEASURE,AQI,CITY_NAME
AQ001390,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/07/07 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001391,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/07/10 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001392,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/07/13 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001393,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/07/19 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001394,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/07/22 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001395,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/07/25 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001396,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/07/28 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001397,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/07/31 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001398,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/08/03 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001399,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/08/06 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
